Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
Unconcentrated,16S,902852.136,R1,UNC,361140854.4,Endogenous
Unconcentrated,16S,1559948.623,R2,UNC,623979449.25,Endogenous
Unconcentrated,16S,1612568.188,R3,UNC,645027275.3,Endogenous
Unconcentrated_Spike,16S,3966296.1955,R1,UNC_Sp,1586518478.5,Endogenous
Unconcentrated_Spike,16S,2822221.5865,R2,UNC_Sp,1128888634.5,Endogenous
Unconcentrated_Spike,16S,6908225.5475,R3,UNC_Sp,2763290219,Endogenous
Vac. direct capture,16S,3677983.428,R1,VDC,18389917.145,Endogenous
Vac. direct capture,16S,3859403.35,R2,VDC,19297016.755,Endogenous
Vac. direct capture,16S,4116389.1865,R3,VDC,20581945.935,Endogenous
Vac. direct capture Pellet,16S,2553025.112,R1,VDCP,12765125.56,Endogenous
Vac. direct capture Pellet,16S,2048922.608,R2,VDCP,10244613.04,Endogenous
Vac. direct capture Pellet,16S,2955396.034,R3,VDCP,14776980.17,Endogenous
NanoTrap,PMMoV,8781.96,R1,NT,70255.68,Endogenous
NanoTrap,PMMoV,8494.07,R2,NT,67952.56,Endogenous
NanoTrap,PMMoV,9540.92,R3,NT,76327.36,Endogenous
Ultrafiltration,PMMoV,7047.73,R1,UF,14095.46,Endogenous
Ultrafiltration,PMMoV,4855.01,R2,UF,9710.02,Endogenous
Ultrafiltration,PMMoV,12668.2,R3,UF,25336.4,Endogenous
Membrane,PMMoV,10322.14,R1,MEM,20644.28,Endogenous
Membrane,PMMoV,8977.93,R2,MEM,17955.86,Endogenous
Membrane,PMMoV,11063.92,R3,MEM,22127.84,Endogenous
Unconcentrated_Spike,PMMoV,554.57,R1,UNC_Sp,88731.2,Endogenous
Unconcentrated_Spike,PMMoV,640.01,R2,UNC_Sp,102401.6,Endogenous
Unconcentrated_Spike,PMMoV,719.11,R3,UNC_Sp,115057.6,Endogenous
Unconcentrated,PMMoV,735.62,R1,UNC,117699.2,Endogenous
Unconcentrated,PMMoV,693.83,R2,UNC,111012.8,Endogenous
Unconcentrated,PMMoV,570.2,R3,UNC,91232,Endogenous
Vac. direct capture,PMMoV,63445.4,R1,VDC,126890.8,Endogenous
Vac. direct capture,PMMoV,58831.5,R2,VDC,117663,Endogenous
Vac. direct capture,PMMoV,43099.8,R3,VDC,86199.6,Endogenous
PEG,PMMoV,35740.4,R1,PEG,71480.8,Endogenous
PEG,PMMoV,39383.4,R2,PEG,78766.8,Endogenous
PEG,PMMoV,27370.2,R3,PEG,54740.4,Endogenous
